id,label
1,1
2,0
3,0
4,1
5,1
6,0
7,1
8,1
9,1
10,0
11,1
12,0
13,0
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,0
22,1
23,0
24,0
25,0
26,1
27,0
28,0
29,1
30,1
31,1
32,1
33,1
34,1
35,0
36,1
37,1
38,1
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,0
54,1
55,0
56,1
57,1
58,1
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,0
80,0
81,1
82,0
83,0
84,0
85,1
86,1
87,0
88,1
89,0
90,1
91,0
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,1
100,1
101,0
102,0
103,1
104,1
105,1
106,1
107,0
108,1
109,0
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,0
120,1
121,1
122,1
123,1
124,1
125,0
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,0
136,1
137,1
138,1
139,0
140,1
141,1
142,1
143,1
144,0
145,1
146,1
147,1
148,0
149,0
150,1
151,0
152,0
153,1
154,1
155,0
156,0
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,0
170,0
171,1
172,0
173,1
174,0
175,1
176,1
177,0
178,0
179,0
180,0
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,0
191,1
192,1
193,0
194,0
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,0
206,0
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,0
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,0
227,0
228,0
229,1
230,1
231,1
232,0
233,0
234,1
235,1
236,1
237,1
238,0
239,0
240,0
241,1
242,1
243,0
244,1
245,1
246,0
247,1
248,1
249,1
250,1
251,1
252,0
253,1
254,1
255,1
256,0
257,0
258,1
259,0
260,1
261,1
262,1
263,1
264,0
265,0
266,0
267,1
268,1
269,1
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,0
278,1
279,0
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,0
298,1
299,0
300,0
301,1
302,1
303,1
304,0
305,1
306,1
307,0
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,0
331,0
332,0
333,1
334,1
335,0
336,0
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,0
346,0
347,1
348,1
349,1
350,1
351,0
352,1
353,0
354,1
355,0
356,1
357,0
358,0
359,0
360,1
361,1
362,1
363,1
364,0
365,0
366,1
367,1
368,1
369,1
370,1
371,1
372,0
373,1
374,1
375,1
376,1
377,1
378,0
379,1
380,1
381,1
382,1
383,0
384,1
385,1
386,1
387,1
388,0
389,1
390,1
391,1
392,0
393,1
394,0
395,1
396,1
397,1
398,0
399,0
400,1
401,0
402,1
403,1
404,0
405,0
406,1
407,0
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,0
419,0
420,1
421,0
422,1
423,0
424,1
425,1
426,1
427,1
428,1
429,0
430,1
431,1
432,0
433,1
434,0
435,1
436,0
437,1
438,1
439,1
440,0
441,1
442,1
443,0
444,0
445,0
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,0
454,0
455,1
456,1
457,1
458,1
459,1
460,0
461,1
462,1
463,0
464,1
465,1
466,0
467,0
468,1
469,1
470,1
471,1
472,1
473,1
474,0
475,0
476,1
477,1
478,1
479,1
480,1
481,0
482,1
483,0
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,0
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,0
504,1
505,0
506,1
507,1
508,0
509,0
510,1
511,1
512,1
513,1
514,1
515,0
516,1
517,0
518,1
519,1
520,1
521,1
522,0
523,0
524,0
525,1
526,0
527,0
528,0
529,1
530,1
531,0
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,0
548,1
549,1
550,1
551,1
552,1
553,0
554,1
555,1
556,0
557,1
558,1
559,0
560,1
561,1
562,1
563,1
564,1
565,1
566,0
567,1
568,1
569,1
570,1
571,1
572,0
573,0
574,0
575,1
576,0
577,1
578,1
579,1
580,0
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,0
590,1
591,1
592,0
593,0
594,1
595,1
596,0
597,1
598,0
599,0
600,1
601,1
602,0
603,1
604,1
605,1
606,1
607,0
608,1
609,1
610,1
611,0
612,1
613,0
614,1
615,1
616,1
617,0
618,1
619,1
620,0
621,1
622,0
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,0
637,1
638,1
639,1
640,1
641,1
642,1
643,0
644,1
645,1
646,0
647,1
648,1
649,1
650,0
651,1
652,1
653,1
654,1
655,1
656,1
657,0
658,1
659,0
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,0
671,1
672,0
673,1
674,0
675,1
676,1
677,1
678,1
679,1
680,1
681,0
682,1
683,0
684,1
685,0
686,1
687,0
688,1
689,1
690,1
691,0
692,1
693,1
694,0
695,1
696,1
697,0
698,1
699,1
700,0
701,0
702,1
703,0
704,1
705,1
706,1
707,1
708,1
709,0
710,1
711,1
712,0
713,1
714,1
715,1
716,1
717,1
718,0
719,1
720,1
721,1
722,1
723,1
724,1
725,0
726,0
727,1
728,0
729,1
730,0
731,0
732,1
733,1
734,1
735,1
736,1
737,0
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,0
746,0
747,1
748,0
749,1
750,1
751,1
752,0
753,1
754,1
755,1
756,1
757,0
758,1
759,1
760,0
761,1
762,1
763,1
764,1
765,1
766,0
767,0
768,1
769,1
770,1
771,0
772,1
773,1
774,0
775,1
776,1
777,1
778,1
779,1
780,0
781,1
782,0
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,0
794,1
795,1
796,1
797,0
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,0
806,1
807,0
808,1
809,1
810,1
811,0
812,0
813,0
814,0
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,0
823,1
824,1
825,1
826,0
827,1
828,1
829,1
830,1
831,0
832,0
833,1
834,0
835,0
836,1
837,1
838,1
839,0
840,1
841,1
842,1
843,1
844,1
